FOR OFFICIAL USE ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of: 18 Aug 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL_NAME,SSAN,GRADE,RECORD_STATUS,ASSIGNED_PAS,ASSIGNED_PAS_CLEARTEXT,OFFICE_SYMBOL,DUTY_TITLE,DUTY_START_DATE,DOR,DAFSC,CAFSC,PAFSC,2AFSC,3AFSC,4AFSC,DATE_ARRIVED_STATION,DUTY_PHONE,TAFMSD,DOE,DOS,ETS,DATE_OF_BIRTH,HOME_ADDRESS,HOME_CITY,HOME_STATE,HOME_ZIP_CODE,SUPV_NAME,GRADE_PERM_PROJ,UIF_CODE,UIF_DISPOSITION_DATE,PROJ_EVAL_CLOSE_DATE,MARITAL_STATUS,RNLTD,GAINING_PAS,GAINING_PAS_CLEARTEXT,LAST_EVAL_RATING,LAST_EVAL_CLOSE_DATE,PERF_INDICATOR,SPOUSE_SSAN,SUPV_BEGIN_DATE,REENL_ELIG_STATUS,HOME_PHONE_NUMBER,AGE,DEROS,DEPLOY_ADMIN_STATUS,DEPLOY_ADMIN_STATUS_CLEARTEXT,DEPLOY_ADMIN_STOP_DATE,DEPLOY_LEGAL_STATUS,DEPLOY_LEGAL_STATUS_CLEARTEXT,DEPLOY_LEGAL_STOP_DATE,DEPLOY_PHYS_STATUS,DEPLOY_PHYS_STATUS_CLEARTEXT,DEPLOY_PHYS_STOP_DATE,DEPLOY_TIME_STATUS,DEPLOY_TIME_STATUS_CLEARTEXT,DEPLOY_TIME_STOP_DATE,AVAILABILITY_CODE,AVAILABILITY_CODE_CLEARTEXT,AVAILABILITY_DATE,AVAILABILITY_STATUS,AVAILABILITY_STATUS_CLEARTEXT,LIMITATION_CODE,LIMITATION_CODE_CLEARTEXT,LIMITATION_END_DATE,SEC_CLR,TYPE_SEC_INV,DT_SCTY_INVES_COMPL,SEC_ELIG_DT,TECH_ID,ACDU_STATUS,ANG_ROLL_INDICATOR,AFR_SECTION_ID,CIVILIAN_ART_ID,ATTACHED_PAS,FUNCTIONAL_CATEGORY
"DOE, JOHN",111-11-1111,MSG,10,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,OSK,OPERATIONS SUPERINTENDENT,01-JUN-2021,01-JAN-2020,J1Z371,J1Z371,J1Z371,,,,27-NOV-2018,1111111,27-JUN-2006,24-JUL-2018,23-MAY-2024,23-MAY-2024,24-MAY-1984,123 FAKE DRIVE,SANFORD,NC,27332,"SMITH, ROBERT",,,,30-SEP-2022,M,,,,L,30-SEP-2021,A,,01-OCT-2021,1M,1111111,38,,,,,,,,40,ASGMT LIMITED TO BASE W/HOSPITAL,08-AUG-3888,81,INDIVIDUAL DWELL TIME,27-SEP-2022,43,ASSIGNED TO A 4 YR MIN TOUR POSITION,26-NOV-2023,A,APPROVED,X,C1 MEDICAL ASSIGNMENT LIMITATION,08-AUG-3888,V,A,28-NOV-2017,05-DEC-2017,,,,,,,A
"SMITH, ROBERT",111-11-1112,MAJ,10,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,SGXY,SPORTS PHYSICAL THERAPY FELLOW,04-JUN-2021,01-MAY-2022,-42B3,,M42B3,,,,15-AUG-2022,1111111111,06-JAN-2019,,08-AUG-3888,,27-AUG-1989,124 FAKE DRIVE,PINEHURST,NC,28374,"DOE, JOHN",,,,05-MAY-2022,S,,,,Y,05-MAY-2021,A,,06-MAY-2021,,1111111111,32,,62,PIPELINE CATEGORY,08-AUG-3888,,,,,,,57,TIME ON STATIONS (TOS) LESS THAN 15 DAYS/45 DAYS/6MONTHS,29-SEP-2022,,,,,,,,,S,T3,30-JAN-2019,07-FEB-2019,,,,,,,A
"BILES, JENNIFER",111-11-1113,SRA,20,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,SWMS,RADIO FREQUENCY SYS TECHNICIAN,01-NOV-2021,02-JUL-2021,-1D751R,-1D751R,1D751R,,,,28-SEP-2021,1211111,02-JAN-2019,02-JAN-2019,01-JAN-2023,01-JAN-2023,29-JAN-2000,125 FAKE DRIVE,COLORADO SPRINGS,CO,80916,"CHASE, ZACH",,,,31-MAR-2023,S,02-JAN-2023,S73IFLX5,OL RA AIR RES PERS CE CE FFLX50,L,31-MAR-2022,,,01-APR-2022,1R,1211111,22,,,,,,,,,,,50,APPROVED SEPARATION WITHIN 180 DAYS,02-DEC-2022,44,ASSIGNED TO A 3 YR MIN TOUR POSITION,01-SEP-2024,A,APPROVED,,,,S,T3,29-OCT-2018,16-NOV-2018,,,,,,,A
"CHASE, ZACH",111-11-1114,CPT,10,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,A2,"CHIEF, GP INTELLIGENCE TRAINING",13-NOV-2021,28-OCT-2020,-14N3,,14N3,,,,13-NOV-2021,1211111111,18-AUG-2016,,08-AUG-3888,,26-AUG-1990,126 FAKE DRIVE,SOUTHERN PINES,NC,28387,"BELL, REINA",,,,12-JUN-2022,M,,,,Y,12-JUN-2021,A,111-11-1211,13-NOV-2021,,1211111111,31,,,,,,,,,,,,,,,,,,,,,,V,A,20-FEB-2018,02-APR-2018,,,,,,,A
"BELL, REINA",111-11-1115,TSG,10,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,UTM,GROUP TRAINING MANAGER,21-SEP-2020,01-FEB-2020,-3F251,-3F271,3F271,2A574,,,21-SEP-2020,1111111,20-SEP-2011,30-JUN-2022,29-SEP-2026,29-SEP-2026,27-FEB-1993,127 FAKE DRIVE,FAYETTEVILLE,NC,28311,"DOE, JOHN",,,,30-SEP-2022,S,,,,L,30-NOV-2021,,,01-DEC-2021,1M,1111111,29,,,,,,,,,,,,,,,,,,,O,AMN HAS APPROVED SRB / IEB / OFF TEMP,29-JUN-2026,S,3,15-SEP-2010,17-SEP-2010,,,,,,,A
"FELTER, FRANCAIS",111-11-1116,SSG,11,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,CA,"NCOIC, ARMORY OPERATIONS",01-JUN-2021,01-MAR-2019,-3P051B,-3P051B,3P071,3P051B,,,03-AUG-2019,1111111111,03-JUN-2015,22-APR-2021,21-SEP-2026,21-JUL-2025,25-FEB-1994,128 FAKE DRIVE,FAYETTEVILLE,NC,28314,"BELL, REINA",,,,31-JAN-2023,S,,,,L,31-JAN-2022,A,,01-FEB-2022,1M,1111111111,28,,,,,,,,,,,,,,,,,,,O,AMN HAS APPROVED SRB / IEB / OFF TEMP,21-APR-2025,V,T5,27-JAN-2022,14-FEB-2022,,,,,,,A
"GRANT, THOMAS",111-11-1117,TSG,10,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,DOC,"GROUP, PPPM",01-DEC-2021,01-JAN-2020,J1Z371,J1Z371,J1Z371,,,,05-OCT-2017,1211111,16-NOV-2010,07-FEB-2020,06-SEP-2025,06-SEP-2025,26-JUL-1990,129 FAKE DRIVE,CARTHAGE,NC,28327,"BELL, REINA",,,,30-NOV-2022,M,,,,L,30-NOV-2021,A,,01-DEC-2021,1M,1211111,32,,,,,,,,,,,81,INDIVIDUAL DWELL TIME,03-SEP-2022,,,,,,,,,V,T5,27-SEP-2020,19-OCT-2020,,,,,,,A
"THORNTON, THADD",111-11-1118,LTC,10,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,CC,COMMANDER,05-JUN-2022,01-APR-2019,C19Z3B,,K11B3C,B19Z3B,,,05-JUN-2022,1211111111,04-JUL-2004,,31-JUL-2032,,06-DEC-1981,130 FAKE DRIVE,FAYETTEVILLE,NC,28311,"BELL, REINA",,,,02-MAY-2022,M,,,,Y,01-JUL-2021,A,,02-JUL-2021,,1211111111,40,,,,,,,,,,,,,,,,,,,,,,V,9,22-MAY-2015,04-JUN-2015,,,,,,,A
"ISSY, JOSEPH",111-11-1119,SSG,10,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,LGRVM,GROUP VEH FLEET MGR,28-FEB-2022,01-DEC-2015,-2T357,-2T357,2T377,,,,28-FEB-2022,1111111,25-MAY-2010,19-FEB-2021,18-APR-2026,18-APR-2026,08-JUN-1991,131 FAKE DRIVE,MACKENBACH,,67686,"HATRICK, PAT",,,,31-JAN-2023,M,,,,V,31-JAN-2022,A,,28-FEB-2022,1M,1111111,31,,,,,,,,,,,,,,,,,,,,,,S,3,19-FEB-2010,04-MAR-2010,,,,,,,A
"HATRICK, PAT",111-11-1120,TSG,10,PV1CF903,818 OPERATIONS SUPPORT SQ FF9030,CA,"NCOIC, CATM",24-FEB-2021,01-MAY-2021,-3P071,-3P071,3P071,3P051B,,,24-FEB-2021,1111111111,27-NOV-2012,05-NOV-2020,04-NOV-2025,04-NOV-2025,04-NOV-1993,132 FAKE DRIVE,SAN ANTONIO,TX,78245,"ISSY, JOSEPH",,,,30-NOV-2022,M,,,,L,30-NOV-2021,A,,01-DEC-2021,1M,1111111111,28,,,,,,,,,,,,,,28,BASE OF PREFERENCE,24-FEB-2023,A,APPROVED,,,,S,3,28-JUN-2012,30-JUN-2012,,,,,,,A
